Date,N_Opioid
2019-01-06,196
2019-01-13,175
2019-01-20,203
2019-01-27,192
2019-02-03,173
2019-02-10,167
2019-02-17,189
2019-02-24,207
2019-03-03,204
2019-03-10,162
2019-03-17,178
2019-03-24,205
2019-03-31,194
2019-04-07,174
2019-04-14,184
2019-04-21,184
2019-04-28,175
2019-05-05,215
2019-05-12,196
2019-05-19,175
2019-05-26,197
2019-06-02,199
2019-06-09,193
2019-06-16,200
2019-06-23,185
2019-06-30,164
2019-07-07,205
2019-07-14,181
2019-07-21,174
2019-07-28,208
2019-08-04,184
2019-08-11,165
2019-08-18,134
2019-08-25,190
2019-09-01,160
2019-09-08,205
2019-09-15,189
2019-09-22,176
2019-09-29,196
2019-10-06,159
2019-10-13,178
2019-10-20,142
2019-10-27,145
2019-11-03,100
2019-11-10,80
2019-11-17,99
2019-11-24,115
2019-12-01,105
2019-12-08,124
2019-12-15,123
2019-12-22,74
2019-12-29,124
2020-01-05,103
2020-01-12,115
2020-01-19,105
2020-01-26,112
2020-02-02,97
2020-02-09,130
2020-02-16,121
2020-02-23,139
2020-03-01,120
2020-03-08,135
2020-03-15,131
2020-03-22,148
2020-03-29,118
2020-04-05,380
2020-04-12,356
2020-04-19,333
2020-04-26,300
2020-05-03,371
2020-05-10,450
2020-05-17,407
2020-05-24,419
2020-05-31,368
2020-06-07,356
2020-06-14,321
2020-06-21,301
2020-06-28,375
2020-07-05,310
2020-07-12,315
2020-07-19,295
2020-07-26,305
2020-08-02,346
2020-08-09,290
2020-08-16,349
2020-08-23,396
2020-08-30,430
2020-09-06,363
2020-09-13,358
2020-09-20,307
2020-09-27,332
2020-10-04,335
2020-10-11,359
2020-10-18,325
2020-10-25,349
2020-11-01,294
2020-11-08,300
2020-11-15,306
2020-11-22,299
